id,page_name,page_type
12298,Gobierno del Estado de Oaxaca,government
12299,Julius Jr.,tvshow
12300,Joanne Ryan MP,politician
12301,60 Days In on A&E,tvshow
12302,Brussels Airlines,company
12303,Marias Gamesa,company
12304,ISU Hunedoara,government
12305,Visit The USA,company
12306,Stacy's Pita Chips,company
12307,Dell,company
12308,Rainer Wieland,politician
12309,Richard Arkless for Dumfries & Galloway,politician
12310,Perla Tun,politician
12311,Green Giant,company
12312,Zoo,tvshow
12313,Australia-China Council,government
12314,Europäische Weltraumorganisation ESA,government
12315,NASA's Cassini Mission to Saturn,government
12316,Days Inn,company
12317,Rain-X,company
12318,Busted,tvshow
12319,Yok Böyle Dans,tvshow
12320,Bridget Phillipson,politician
12321,Sarah Palin,politician
12322,Fausto Pinato,politician
12323,Canyon,company
12324,US National Weather Service Grand Junction Colorado,government
12325,Centro Nacional de las Artes México,government
12326,Pressiklubi,tvshow
12327,El Viajero Fisgón,company
12328,Comienzo Sano Colombia,company
12329,Premios Juventud,tvshow
12330,Ian Duncan,politician
12331,Jerry Buttimer,politician
12332,US National Weather Service Charleston SC,government
12333,The Embassy of Switzerland in Egypt,government
12334,L'OCCITANE en Provence,company
12335,Exathlon Brasil,tvshow
12336,Lucila Lehmann,politician
12337,US National Weather Service Salt Lake City Center Weather Service Unit,government
12338,Julia Leischik SAT.1,tvshow
12339,Avast Software,company
12340,Davi Alcolumbre,politician
12341,Museo Archeologico Nazionale Cividale,government
12342,Twisted,tvshow
12343,hummel,company
12344,Martha Tagle,politician
12345,Mister Donut 統一多拿滋官方粉絲團,company
12346,財務省,government
12347,National Archives Education,government
12348,Miami-Dade Office of Emergency Management,government
12349,Danida,government
12350,Leopoldo Lopez,politician
12351,NESCAFÉ Dolce Gusto Indonesia,company
12352,Smash France,tvshow
12353,New Jersey National Guard,government
12354,Liberty Travel,company
12355,Granko,company
12356,Fotolia,company
12357,Ambassade des Pays-Bas au Congo Kinshasa & Congo Brazzaville,government
12358,US Army Reserve Element - Defense Information Systems Agency,government
12359,Zain Jordan,company
12360,Morocco Mall - Page officielle,company
12361,Geovania de Sá,politician
12362,UGG,company
12363,Patrick Prévot,politician
12364,WX Geeks,tvshow
12365,Ripley Perú,company
12366,The Online Project,company
12367,Sonric's,company
12368,Fußball bei RTL,tvshow
12369,Televisa,company
12370,Peeni Henare,politician
12371,The Joint Staff,government
12372,Austin Energy Electric Vehicles,government
12373,The North Face,company
12374,Club Grunt Style,company
12375,German Embassy New Delhi,government
12376,Essentia Water,company
12377,Samsung España,company
12378,Ore-Ida,company
12379,Microsoft,company
12380,Crocs,company
12381,Jornal Hoje,tvshow
12382,San Pellegrino,company
12383,WRCB Eyewitness Sports,tvshow
12384,Brooks Running,company
12385,Jeep Nederland,company
12386,Campus France Maroc,government
12387,Hollywood Hunter,tvshow
12388,Guy Bourgeois,politician
12389,Kevin McCarthy,politician
12390,Wawa,company
12391,Emilia De Biasi,politician
12392,Icelandair,company
12393,Piazzapulita - LA7,tvshow
12394,대한민국 외교부,government
12395,Region 22 Emergency Management,government
12396,GIORDANO,company
12397,Harris Township - Government,government
12398,Tassimo,company
12399,Facebook,company
12400,HYATT Hotels,company
12401,ESET,company
12402,Petra Kammerevert,politician
12403,USFWS Alaska Fisheries and Habitat,government
12404,Sylvia Pinel,politician
12405,149th Fighter Wing,government
12406,Tany Yao,politician
12407,National Health Service Corps,government
12408,Soldier for Life,government
12409,Ambassade du Canada en Tunisie,government
12410,Facebook,company
12411,Austin Recycles,government
12412,Mary Mitchell O'Connor TD,politician
12413,Embassy of Switzerland in Bangkok,government
12414,AT&T Mx Empleos,company
12415,Uwe Hück,company
12416,Jovenes Industria,government
12417,Eventim - DE,company
12418,France Stratégie,government
12419,Ambasada Germaniei Bucureşti,government
12420,Andy Richards for South Barwon,politician
12421,Ahmedabad City Police,government
12422,Microsoft Developer,company
12423,SHARK Energy,company
12424,Andy Fillmore,politician
12425,Last Resort,tvshow
12426,Facebook,company
12427,Deputado Fernando Torres,politician
12428,Knoxville Police Department - TN,government
12429,Aviva,company
12430,Rickey Smiley For Real,tvshow
12431,stern Genuss,company
12432,Richard Benyon,politician
12433,Chain Reaction,tvshow
12434,T.C. Rotterdam Başkonsolosluğu/ Consulaat van Turkije in Rotterdam,government
12435,Microsoft Developer,company
12436,Fidèles au poste,tvshow
12437,Ambasada României în Italia / Ambasciata di Romania in Italia,government
12438,Durex,company
12439,Triumph,company
12440,Visit Argentina,government
12441,Beltrami County Sheriff's Office,government
12442,The Chia Co,company
12443,Service Civique,government
12444,Sam Hibbins,politician
12445,eesti.ee,government
12446,Embassy of Finland in Jakarta - Suomen suurlähetystö Jakartassa,government
12447,Michael Mantha Algoma-Manitoulin,politician
12448,Northland Police,government
12449,Servicezeit,tvshow
12450,European Union in Egypt,government
12451,HOK-Elanto,company
12452,Social Security Administration,government
12453,The Late Late Show with James Corden,tvshow
12454,UK in Yemen,government
12455,Mississippi Department of Transportation,government
12456,Prefeitura do Rio de Janeiro,government
12457,Susan Lamb MP Longman,politician
12458,National Institute of Environmental Health Sciences,government
12459,NOAA Coast Survey,government
12460,Stéphane Ravier,politician
12461,EU Environment,government
12462,Prefectura Naval Argentina,government
12463,José Agripino,politician
12464,Military OneSource,government
12465,"India at UN (Permanent Mission of India to the United Nations, New York)",government
12466,FlyScoot,company
12467,Pardot,company
12468,Eureka! Canada,government
12469,Montana VA Health Care System,government
12470,Subsecretaría de Gestión y Empleo Público,government
12471,Région Capitale des USA,company
12472,Stefan Liebich,politician
12473,Portland Parks & Recreation,government
12474,Mais Caminhos - EPTV,tvshow
12475,Lake County Clerk,government
12476,Német Nagykövetség Budapest,government
12477,"Bandit Troop, 1-4 CAV",government
12478,The U.S. Army Officer Candidate School,government
12479,Jochen Klenner,politician
12480,"Marilyn Gladu, MP",politician
12481,Temps d'aventura,tvshow
12482,Debora Serracchiani,politician
12483,Larry Maguire,politician
12484,¿Quién quiere casarse con mi hijo?,tvshow
12485,U.S. Embassy Brazzaville,government
12486,BALENCIAGA,company
12487,Francisco Chagas,politician
12488,Bloodbath and Beyond,tvshow
12489,The Ministry of Foreign Affairs of Ethiopia,government
12490,Europos Komisijos atstovybė Lietuvoje,government
12491,Volkswagen,company
12492,Michael Cooper,politician
12493,Senator Dan Hall,politician
12494,Justin Lester,politician
12495,Israel in Taipei,government
12496,U.S. Army Operational Test Command,government
12497,Windows,company
12498,Alex Greenwich,politician
12499,Peace Corps Ecuador,government
12500,The U.S. Mission to the European Union - USEU Brussels,government
12501,Common Sense,tvshow
12502,John Fetterman,politician
12503,Public Health Agency of Canada,government
12504,"City of Mesa, Arizona Government",government
12505,Volkswagen Nyttekjøretøy,company
12506,Oracle,company
12507,Eunício Oliveira,politician
12508,Angela Crawley MP,politician
12509,FAGE,company
12510,Senate Homeland Security and Governmental Affairs Committee – Democrats,government
12511,"Hon. Deepak Obhrai PC, MP",politician
12512,Julie Collins MP,politician
12513,Azzurra Cancelleri,politician
12514,Chance,tvshow
12515,Hermès,company
12516,Arrondissement de Rosemont - La Petite-Patrie,government
12517,Umagang KayGanda (Official Page),tvshow
12518,Who Do You Think You Are?,tvshow
12519,Les Nouveaux Explorateurs,tvshow
12520,Canadian Space Agency,government
12521,Facebook Security,company
12522,Erin McClelland,politician
12523,Peterson AFB: 21st Space Wing,government
12524,Fort Leavenworth,government
12525,Sylviane Bulteau,politician
12526,Tourism Ireland,company
12527,U.S. Embassy Ouaga,government
12528,Margaret Greenwood MP,politician
12529,Color Line,company
12530,Marieluise Beck,politician
12531,Western Sydney Health,government
12532,AHA!,tvshow
12533,Naraparaju Ramchander Rao,politician
12534,Parcs Canada,government
12535,Stampd,company
12536,Carlos Fávaro,politician
12537,Café 3 Corações,company
12538,Hillshire Farm,company
12539,Alviero Martini Prima Classe,company
12540,DOG The Bounty Hunter on A&E,tvshow
12541,Nigel Adams MP,politician
12542,Oscar Aguad,politician
12543,勞動部,government
12544,British Embassy Sofia,government
12545,21風味館,company
12546,응답하라 1988,tvshow
12547,The Parachute Regiment,government
12548,U.S. Embassy Belgrade,government
12549,Lentilky,company
12550,1|2|3 Smart,company
12551,Got Talent Portugal,tvshow
12552,Christine Schneider,politician
12553,Howard County Department of Fire and Rescue Services,government
12554,La Grande Librairie,tvshow
12555,Erika Kokay,politician
12556,Microsoft,company
12557,Stouffer’s,company
12558,Telefilm Canada,government
12559,Embajada de la República Argentina en Alemania,government
12560,MTN Swaziland,company
12561,Axtel,company
12562,Fotolia,company
12563,Sheridan VA Health Care System,government
12564,Opening Ceremony,company
12565,Intérieur Sport,tvshow
12566,Orange is the New Black,tvshow
12567,Gatorade México,company
12568,Патрульна поліція України,government
12569,The Daily Show,tvshow
12570,Unilever Careers,company
12571,Florida's Natural,company
12572,GoWireless Verizon Authorized Retailer,company
12573,Amazon.com,company
12574,German Information Center Cairo - المركز الألماني للإعلام,government
12575,Eduardo Paes,politician
12576,Embassy of Denmark in Ethiopia,government
12577,Pierwsza miłość,tvshow
12578,Skyscanner,company
12579,Harold Albrecht,politician
12580,Extreme Tornado Tours,company
12581,Centro De Memoria Histórica,government
12582,富邦食神幫,company
12583,Wado de Pedro,politician
12584,Mikael Damberg,politician
12585,Dr. Ashwath Narayan,politician
12586,Marian-Jean Marinescu,politician
12587,Robert Sopuck,politician
12588,Homesense Canada,company
12589,管碧玲 (kuanbiling),politician
12590,Damien Moore MP,politician
12591,Besucht Holland,company
12592,Home and Away,tvshow
12593,Tim Watts MP,politician
12594,PRONTO,company
12595,Ralphs,company
12596,Hellas Direct,company
12597,Southern Charm,tvshow
12598,Clackamas County Disaster Management,government
12599,U.S. Department of Veterans Affairs Center for Innovation,government
12600,Philippine Consulate General in San Francisco,government
12601,KLM Kazakhstan,company
12602,Les Soirées Juste pour rire,tvshow
12603,U.S. Fleet Cyber Command/U.S. TENTH Fleet,government
12604,FlySAA Mauritius,company
12605,NOAA Ship Oscar Elton Sette,government
12606,Deputado Chico Lopes,politician
12607,Dr. G: Medical Examiner,tvshow
12608,Houzz,company
12609,New York State Homes & Community Renewal,government
12610,Craig Mackinlay MP,politician
12611,Maria Grazia Rocchi,politician
12612,Mąż czy nie mąż TVN,tvshow
12613,Ministerio de Educación,government
12614,Sophie in 't Veld,politician
12615,Jason Nixon,politician
12616,Toño Martín del Campo,politician
12617,Jens Brandenburg,politician
12618,Oliver Wittke,politician
12619,Tony Clement,politician
12620,L'OCCITANE en Provence,company
12621,U.S. Forest Service - Chattahoochee-Oconee National Forests,government
12622,Medical Reserve Corps,government
12623,Stayhard,company
12624,Kate Young,politician
12625,Laurent Lessard,politician
12626,Tariq Alhashimi - طارق الهاشمي,politician
12627,Microsoft Taiwan,company
12628,Kingsford Charcoal,company
12629,Peace Corps Cambodia,government
12630,Puerto Rico Tourism Company,government
12631,Desperate Housewives,tvshow
12632,Truvia,company
12633,United Nations Publications,government
12634,Hero Konfitüre,company
12635,Starbucks Singapore,company
12636,T.C. Tunus Büyükelçiliği - Ambassade de Turquie en Tunisie,government
12637,Jeppe Bruus,politician
12638,U.S. Army Benét Laboratories,government
12639,French Embassy in Ghana / Ambassade de France au Ghana,government
12640,Steve Dickson,politician
12641,Pacific Marines,government
12642,Embajada de Suiza en Uruguay,government
12643,U.S. Embassy Niamey,government
12644,BC Hydro,company
12645,Emmanuel Dubourg,politician
12646,Statistics Canada,government
12647,"Rajeev Chandrasekhar, MP",politician
12648,Australia in the Caribbean,government
12649,clickOnero,company
12650,Victoria Derbyshire,tvshow
12651,Ingrid Pahlmann,politician
12652,MTV’s Joking Off,tvshow
12653,Óscar López,politician
12654,NYC Commission On Human Rights,government
12655,"423rd Transporation Company,  US Army Reserve",government
12656,New Zealand Consulate Los Angeles,government
12657,Omi's Apfelstrudel,company
12658,British Embassy Berlin,government
12659,QVC Japan（QVCジャパン）,company
12660,Gatorade PR,company
12661,Frontier,tvshow
12662,Dr. André Hahn,politician
12663,Lee Zeldin,politician
12664,SA Weekender,tvshow
12665,U.S. Forest Service-Malheur National Forest,government
12666,Maryland Office of Preparedness and Response,government
12667,Progresso,company
12668,Samsung Magyarország,company
12669,Martin Patzelt MdB,politician
12670,Dove Chocolate,company
12671,Food Standards Australia New Zealand (FSANZ),government
12672,Pedro Pablo Kuczynski,politician
12673,Flaviano Melo,politician
12674,Victoria Police,government
12675,Barry O’Sullivan,politician
12676,Claro Nicaragua,company
12677,Whole Foods Market,company
12678,KBSMalaysia,government
12679,Ed Perlmutter,politician
12680,Janusz Korwin-Mikke,politician
12681,August Wöginger,politician
12682,European Parliament Washington DC,government
12683,Aussie Apples,company
12684,WD,company
12685,MTV’s The Inbetweeners,tvshow
12686,Militärhögskolan Karlberg,government
12687,Pizza Hut El Salvador,company
12688,Starbucks Switzerland,company
12689,Matthias Goeken MdL,politician
12690,Bekim Ҫollaku,politician
12691,Luciano Cartaxo,politician
12692,Weverton Rocha,politician
12693,Lawrence MacAulay,politician
12694,City of Fontana Police Department,government
12695,Rita Lc de Santis,politician
12696,Marine Rotational Force Darwin,government
12697,New Tricks,tvshow
12698,Alim'agri,government
12699,Home and Away UK,tvshow
12700,MEETinSWEDEN - BROADEN YOUR HORIZONS,company
12701,ფინანსთა სამინისტრო / Ministry of Finance of Georgia,government
12702,ASUS Republic of Gamers,company
12703,Consulate General of Canada in Dallas,government
12704,EU-kommissionen i Sverige,government
12705,Frank Heinrich,politician
12706,"Industria Nacional del Cemento, Paraguay",government
12707,Disney On Ice,company
12708,Microsoft Imagine,company
12709,Bugaboo,company
12710,Jorge Côrte Real,politician
12711,Chon Orihuela,politician
12712,林鴻池,politician
12713,VRBO - Vacation Rentals By Owner,company
12714,FoodSafety.gov,government
12715,tvN 수요미식회,tvshow
12716,Leela Sharon Aheer,politician
12717,Vivino,company
12718,Austin City Auditor,government
12719,Ben & Jerry's,company
12720,Ejército del Aire,government
12721,Molecular Probes,company
12722,Policía de Hermosillo,government
12723,"Chief Electoral Officer, Gujarat",government
12724,Ford Puerto Rico,company
12725,Hilton Hotels & Resorts,company
12726,La Voz Argentina Telefe,tvshow
12727,ABP Ananda,company
12728,Jan Steffen,politician
12729,Bendt Bendtsen,politician
12730,Direitos Humanos Brasil,government
12731,MySQL at Facebook,company
12732,FlySAA Germany,company
12733,卓溪鄉公所,government
12734,Pennyblack,company
12735,Digicel,company
12736,Triumph,company
12737,Lubomír Zaorálek,politician
12738,Brad Trost,politician
12739,Fátima Bezerra,politician
12740,"Galveston District, U.S. Army Corps of Engineers",government
12741,夢田文創,company
12742,Jan Korte (MdB),politician
12743,ForRent.com,company
12744,Die Fallers - Geplauder mit Giacomo,tvshow
12745,Love Connection FOX,tvshow
12746,Wiko,company
12747,Hüda Kaya,politician
12748,Baroness von Sketch Show,tvshow
12749,The Biggest Loser,tvshow
12750,"City of North Las Vegas, Nevada - Municipal Government",government
12751,Jennie-O Turkey,company
12752,Tootsie Roll,company
12753,Johns Creek Police Department,government
12754,Jake Zweig,tvshow
12755,Sibá Machado Oliveira,politician
12756,Генеральний штаб ЗСУ / General Staff of the Armed Forces of Ukraine,government
12757,Facebook,company
12758,German Institute Taipei   德國在台協會,government
12759,Daytona Beach Area Convention and Visitors Bureau,company
12760,Level Crossing Removal Authority,government
12761,US National Weather Service Tulsa Oklahoma,government
12762,NSW SES - Gosford Unit,government
12763,Klaus Stöttner,politician
12764,Tesouro Nacional,government
12765,Comex,company
12766,Alternate Route,tvshow
12767,L'OCCITANE en Provence,company
12768,Museo de Arte Moderno de Buenos Aires,government
12769,Tom Pursglove MP,politician
12770,Informe Semanal,tvshow
12771,Alfonso Martínez Alcázar,politician
12772,Eleuses Paiva,politician
12773,جميرا,company
12774,DADS,tvshow
12775,McDonald's,company
12776,Scott Peters,politician
12777,Muna Duzdar,politician
12778,Malalai Joya,politician
12779,7 News Wide Bay,tvshow
12780,T.C. Karlsruhe Başkonsolosluğu,government
12781,Disney On Ice,company
12782,Fátima Pelaes,politician
12783,Manuela Schwesig,politician
12784,MAPFRE,company
12785,"Chief Electoral Officer, Delhi",government
12786,Simone Morgado,politician
12787,Ambasada României în Republica Albania,government
12788,Laura Rojas,politician
12789,Baumholder Soldier for Life - Transition Assistance Program,government
12790,Edmonton Mama,company
12791,dm drogerie markt Slovensko,company
12792,BEMBOS,company
12793,Colombia.travel,company
12794,Na dobre i na złe,tvshow
12795,我的自由年代,tvshow
12796,AirAsia,company
12797,Sports Jeopardyǃ,tvshow
12798,ROOM MATE HOTELS,company
12799,Michigan Office of Retirement Services,government
12800,Banana Republic Factory,company
12801,Apple & Eve,company
12802,House of Food,tvshow
12803,Victims' Rights Caucus,government
12804,Iain Gray,politician
12805,Fly Buys NZ,company
12806,Milton Dick MP,politician
12807,Defence Jobs Australia,government
12808,Adrián Oliva Alcázar,politician
12809,K-Citymarket,company
12810,Esther Dilcher,politician
12811,The Circus: Inside the Biggest Story on Earth,tvshow
12812,Once Upon a Time,tvshow
12813,Ελληνική Κυβέρνηση,government
12814,CLIF Bar,company
12815,Fernando Holiday,politician
12816,"City of Boca Raton, FL Government",government
12817,NASA Planetquest,government
12818,El Fonógrafo,company
12819,ATMOSPHERE - Province de Québec,company
12820,Simon Emil Ammitzbøll,politician
12821,Yvonne Fovargue,politician
12822,SportsCenter ESPN,tvshow
12823,American Tourister Australia & New Zealand,company
12824,eBay India,company
12825,Ministère de l'Éducation nationale Algérie - وزارة التربية الوطنية,government
12826,Slovensko a Poľsko / Słowacja i Polska,government
12827,Ryan Cleary,politician
12828,MyTEB,company
12829,Annette King of Rongotai,politician
12830,American Daredevils,tvshow
12831,The Prime Minister of Israel,government
12832,Ambassade de France à Bangui,government
12833,Secret Millionaire,tvshow
12834,Uttarakhand Tourism Development Board,government
12835,Quaker Canada,company
12836,Pennsylvania Department of Military and Veterans Affairs,government
12837,The X Factor,tvshow
12838,Talenti gelato e sorbetto,company
12839,Sumol,company
12840,Secretaria Estadual de Logística e Transportes,government
12841,Nike+ Run Club,company
12842,US Army Combat Readiness Center,government
12843,Slam l'émission (officiel),tvshow
12844,Shopping Queen,tvshow
12845,Secret Escapes,company
12846,Microsoft,company
12847,Jeugdjournaal,tvshow
12848,OPTAVIA,company
12849,"India in Romania (Embassy of India, Bucharest)",government
12850,L'Oréal Talent,company
12851,Union européenne au Maroc,government
12852,"Embassy of Canada to Costa Rica, Nicaragua and Honduras",government
12853,Lloyd Kelso for President,politician
12854,BBC Look North (North East & Cumbria),tvshow
12855,Ben Bridge Jeweler,company
12856,The 700 Club,tvshow
12857,Heinz Ireland,company
12858,Sympla,company
12859,Fenix Entertainment Group,company
12860,Deputado Federal José Humberto - Legislatura 2011/2014,politician
12861,Baymont Inn & Suites,company
12862,Volkswagen,company
12863,DHL Paket,company
12864,Walmart El Salvador,company
12865,Chronicle on WCVB Channel 5,tvshow
12866,Movistar El Salvador,company
12867,Michael Stübgen,politician
12868,Office of Community Engagement Colorado,government
12869,Ministerio De Defensa Nacional,government
12870,Utopia,tvshow
12871,British Embassy Tallinn,government
12872,Nikki Boyd MP,politician
12873,Claudia Tausend,politician
12874,Michael Gidley,politician
12875,食尚玩家,tvshow
12876,ABC Goulburn Murray,government
12877,Hans Spekman,politician
12878,Embajada de la República Argentina en Honduras,government
12879,Dirk Heidenblut - Mitglied des Bundestages,politician
12880,NSW SES Armidale Unit,government
12881,M&M's Canada,company
12882,Zezinho Albuquerque,politician
12883,Zurich,company
12884,Rocío Giaccone,politician
12885,JetSmarter,company
12886,Embassy of Argentina in the United States,government
12887,Andrew Gee MP,politician
12888,Ruta N,government
12889,José Aníbal,politician
12890,阿里山國家森林遊樂區,government
12891,X-BIONIC,company
12892,Shimano-MTB,company
12893,The Client List,tvshow
12894,Juca Ferreira,politician
12895,vente privee,company
12896,Manufacturing Extension Partnership,government
12897,Renán Barrera Concha,politician
12898,NSW National Parks and Wildlife Service,government
12899,Great Apes Survival Partnership (GRASP-UNEP),government
12900,Australia in Iran,government
12901,KIA Motors South Africa,company
12902,Scott Farlow MLC,politician
12903,Abarth,company
12904,Programa do Gugu,tvshow
12905,Secretaria Municipal de Cultura de São Paulo,government
12906,Senator Eric Lesser,politician
12907,Neale Burgess MP,politician
12908,Brazil Gov News,government
12909,Frances Fitzgerald,politician
12910,Mimco,company
12911,EU Budget,government
12912,BioLite,company
12913,Ambassade de France en République démocratique du Congo,government
12914,Mountain Dew Nederland,company
12915,Maryam Monsef,politician
12916,Windows,company
12917,"Australian Representative Office, Ramallah",government
12918,Patrick Huot,politician
12919,T.C. Oslo Büyükelçiliği / Turkish Embassy in Oslo,government
12920,The City of North Port - Government,government
12921,Teen Wolf,tvshow
12922,Love and Hip Hop,tvshow
12923,Davidson Magalhães,politician
12924,KFC,company
12925,MARCO POLO,company
12926,FOI Philippines,government
12927,Luxury Retreats,company
12928,Sven-Christian Kindler,politician
12929,Resurrection,tvshow
12930,X-BIONIC,company
12931,Swiss Chalet,company
12932,Swiss Miss,company
12933,Nagar Nigam Dehradun,government
12934,Ambassade de France en Ouzbékistan,government
12935,Manchester Gazette,company
12936,US Army Military District of Washington,government
12937,Fort Hood Warrior Transition Unit,government
12938,國稅局新營分局,government
12939,Fort Drum Relocation Readiness Program,government
12940,Christian Louboutin,company
12941,Νίκος Αναστασιάδης (Nicos Anastasiades),politician
12942,El Programa de Ana Rosa,tvshow
12943,SVT Plus,tvshow
12944,Naturalizer México,company
12945,Sue Bernal,politician
12946,US National Weather Service Saint Louis Missouri,government
12947,Nestlé Schöller,company
12948,Dreyer's,company
12949,U.S. Consulate General Hong Kong and Macau,government
12950,KSPR News,tvshow
12951,Richard Sulik,politician
12952,70th BSB Official,government
12953,Tim Kaine,politician
12954,Senator Linda Frum,politician
12955,McDonald's,company
12956,U.S. Bank,company
12957,Linda's Zomerweek,tvshow
12958,Linda Voortman,politician
12959,Shona Robison,politician
12960,DanoneCareers,company
12961,Ministère du Développement de l'Investissement et de la Coop.Internationale,government
12962,North Woods Law,tvshow
12963,Don Francisco Te Invita,tvshow
12964,"Charlie Company, 31st Engineer Battalion",government
12965,Michelle Rowland MP,politician
12966,Ian Lavery MP,politician
12967,UK in Bangladesh,government
12968,Fernando Torres Graciano,politician
12969,Carlos Lupi,politician
12970,Monica the Medium,tvshow
12971,Justin Tomlinson,politician
12972,"Ministerio de Ciencia, Tecnología e Innovación Productiva de la Nación",government
12973,NutriMart,company
12974,"Office of Planning, Research and Evaluation - OPRE",government
12975,Fidelity Investments,company
12976,Ambasada României în Ucraina (Посольство Румунії в Україні),government
12977,Columbia Sportswear,company
12978,Holger Zastrow,politician
12979,Diane Abbott MP,politician
12980,Private Practice,tvshow
12981,Xenius,tvshow
12982,Facebook,company
12983,דניאל עטר - Daniel Atar,politician
12984,LA Ink,tvshow
12985,Boxen bei RTL,tvshow
12986,NESCAFÉ Dolce Gusto Norge,company
12987,NSW SES Albury Unit,government
12988,Ken Wyatt,politician
12989,Office of West Virginia Attorney General,government
12990,Consulado General y Centro de Promoción Argentino en Fráncfort del Meno,government
12991,GIORDANO,company
12992,Forum austriaco di Cultura Milano,government
12993,USFWS Southeast Region,government
12994,BRAVO Sport,company
12995,French Embassy in Tanzania,government
12996,Israel in St. Petersburg,government
12997,"New Zealand Embassy - Santiago, Chile",government
12998,Bonus,company
12999,Peace Corps Belize,government
13000,The City,tvshow
13001,Ninja Warrior,tvshow
13002,"Onslow County Emergency Services ""Official""",government
13003,Colombia Joven,government
13004,Johann Wadephul,politician
13005,"Norbert Spinrath, MdB",politician
13006,Irakli Garibashvili,politician
13007,Better With You,tvshow
13008,Hon Michael Woodhouse,politician
13009,China Eastern Airlines,company
13010,Stanisław Gawłowski,politician
13011,Sir Dennis / Rock n Roll,tvshow
13012,Switched at Birth,tvshow
13013,"City of Manhattan, Kansas - Municipal Government",government
13014,Ernst Nevrivy,politician
13015,T.C. Şikago Başkonsolosluğu/Turkish Consulate General in Chicago,government
13016,Cream of Rice,company
13017,VBQ,tvshow
13018,Apollo Sverige,company
13019,Taste of Hong Kong,company
13020,"Australian High Commission, Ghana",government
13021,TTU Army ROTC Golden Eagle Battalion,government
13022,A Craftsman's Legacy,tvshow
13023,Topaz Energy,company
13024,René Cervera García,politician
13025,Jack Wolfskin,company
13026,Disney On Ice,company
13027,KLM Portugal,company
13028,Standard Chartered India,company
13029,Grupo Emprendimiento Cultural del Ministerio de Cultura de Colombia,government
13030,חדשות הבידור,tvshow
13031,MetroPCS,company
13032,Gernot Blümel,politician
13033,Consulat général du Canada à Hô Chi Minh-Ville,government
13034,Bent Høie,politician
13035,A. Donald McEachin,politician
13036,MTN Nigeria,company
13037,Onslow County Government,government
13038,"Missouri River Navigation, US Army Corps of Engineers",government
13039,Department of Planning and Environment,government
13040,Patrick McHenry,politician
13041,GT Bicycles,company
13042,FRiENDi mobile Oman,company
13043,陳亭妃,politician
13044,Holland's Got Talent,tvshow
13045,謝志忠　幫您講話,politician
13046,Mercado Pago,company
13047,TOP CHEF Polska,tvshow
13048,Congressman Patrick Meehan,government
13049,Dario Tamburrano,politician
13050,Charlie Flanagan,politician
13051,Cocktails & Classics On Logo,tvshow
13052,Europ Assistance,company
13053,Catherine King,politician
13054,L-Men,company
13055,Noin viikon uutiset,tvshow
13056,劉建國,politician
13057,Kishan Reddy Gangapuram,politician
13058,Morrisons,company
13059,Karine Elharrar- קארין אלהרר,politician
13060,Gucci グッチ,company
13061,Poseł Jakub Rutnicki,politician
13062,NSW SES Tweed Coast Unit,government
13063,"India in Afghanistan (Embassy of India, Kabul)",government
13064,BlaBlaCar,company
13065,謝龍介,politician
13066,Tokyo Gov,government
13067,Roberto Basualdo,politician
13068,Ministry of Transport Malaysia,government
13069,Labour's Kevin McKeever,politician
13070,Tastykake,company
13071,Austrian Cultural Forum Tokyo,government
13072,Terry Sheehan,politician
13073,Andrzej Czerwiński,politician
13074,Kicking & Screaming,tvshow
13075,"Bom dia Amazônia, Jornal de RO e G1 RO",tvshow
13076,Consulado General de la República Argentina en Roma,government
13077,Préfet de l'Aube,government
13078,Ritmo Deportivo,tvshow
13079,Embassy of Belgium in Warsaw,government
13080,Derek O'Brien,politician
13081,Kunjungi Jepang dari Indonesia,government
13082,Jorge Suárez,politician
13083,Maker Studios,company
13084,Emma Lane,politician
13085,Dillard's,company
13086,VINCI Energies,company
13087,Jadranka Joksimovic,politician
13088,総務省,government
13089,Miguel Gonzalez Salum,politician
13090,CNBC Fast Money,tvshow
13091,International Business Times India,company
13092,Présidence Tunisie رئاسة الجمهورية التونسية,government
13093,Georgia Department of Natural Resources - Georgia DNR,government
13094,Turkish Embassy in Mogadishu,government
13095,Army Knowledge Online/Defense Knowledge Online,company
13096,C&A,company
13097,Kaufland Romania Cariere,company
13098,European Committee of the Regions,government
13099,Krišjānis Kariņš,politician
13100,Secretaria de Energia e Mineração do Estado de São Paulo,government
13101,German Embassy Doha,government
13102,Ezequiel Fernandez Langan,politician
13103,RTL Nord,tvshow
13104,"U.S. Army Corps of Engineers, Chicago District",government
13105,Valérie Plante,politician
13106,U.S. General Services Administration Heartland Region,government
13107,Tabasco,company
13108,Taco Bell Colombia,company
13109,Falmouth Police Department,government
13110,Orphan Black,tvshow
13111,Delta 1-19 Field Artillery,government
13112,Indiana Republican Party,government
13113,Telemercados,company
13114,L’Oréal Karriere,company
13115,Holiday Inn Express,company
13116,Lima Police Department,government
13117,Microsoft Imagine,company
13118,王寶萱,politician
13119,China Eastern Airlines,company
13120,Alexis Tsipras,politician
13121,MECDigital - Ministerio de Educación y Ciencias - Paraguay,government
13122,NSW SES Mosman Unit,government
13123,M&M's España,company
13124,MAD Magazine,company
13125,Telegraph Ski and Snowboard,company
13126,Allianz,company
13127,Social Tools,company
13128,Bass Pro Shops,company
